EPAID,SITENAME,SITEADDR,SITECITY,SITECOUNTY,LATITUDE,LONGITUDE
NCD000813519,DUKE UNIVERSITY,HWY 751 GATE 11,DURHAM,DURHAM,36.0183,-78.9878
NCD000813592,GA-PACIFIC CORP/HDWD SAW,PLYWOOD DR,PLYMOUTH,WASHINGTON,35.87345,-76.74101
NCD000822130,HARRELSON RUBBER COMPANY,HWY 220 SOUTH,ASHEBORO,RANDOLPH,35.66172,-79.82185
NCD000822957,UNION CARBIDE CORP/EVEREADY BATTERY,ART BRYAN DR,ASHEBORO,RANDOLPH,35.76866,-79.81669
NCD000827832,ELECTRICAL UTILITIES/CO BB&T,309 ANDERSON AVE,FARMVILLE,PITT,35.582777,-77.592777
NCD000828566,TARTAN MARINE PROPERTY,NC HIGHWAY 77 & SR 2032,HAMLET,RICHMOND,34.87312,-79.73049
NCD000828616,USS AGRI-CHEMICALS FARM SERVICE,HWY 701,WHITEVILLE,COLUMBUS,34.24824,-78.75531
NCD001493931,"WECK, EDWARD INC.",WECK DR,RTP,DURHAM,35.9263,-78.84963
NCD001704980,WILMINGTON BRANCH/BORDEN/SMITH DOUGL,NAVASSA ROAD,NAVASSA,BRUNSWICK,34.2632,-78.0014
NCD001725464,BORDEN CHEMICAL SMITH-DOUGLASS,3106 HWY 11 NORTH,KINSTON,LENOIR,35.307752,-77.526366
NCD001871854,FRUEHAUF TRAILER CORPORATION,310 DALTON,CHARLOTTE,MECKLENBURG,35.24003,-80.83217
NCD002388965,"LACKAWANNA LEATHER CO., INC.",HWY 70A WEST,CONOVER,CATAWBA,35.72016,-81.25055
NCD002464691,ALLIANCE CAROLINA TOOL AND MOLD,SR 3495-GLENN BRIDGE RD,ARDEN,BUNCOMBE,35.46235,-82.52422
NCD002571438,ABC ENGRAVERS,724 NORTH I-85,CHARLOTTE,MECKLENBURG,35.265511,-80.870253
NCD003148798,DAYCO CORP,BALSAM RD,WAYNESVILLE,HAYWOOD,35.4663,-83.00948
NCD003148889,CHAMPION INTERNATIONAL_CANTON MILL,NEWFOUND STREET,CANTON,HAYWOOD,35.53492,-82.83751
NCD003149291,GASTON COUNTY DYEING MACHINE CO.,HWY 27 EAST,MOUNT HOLLY,GASTON,35.31639,-81.04108
NCD003149663,RADIATOR SPECIALTY COMPANY,1900 WILKINSON BLVD,CHARLOTTE,MECKLENBURG,35.223186,-80.871147
NCD003149705,BASF WAYNDOTTE CORPORATION,4330 CHESAPEAKE DR,CHARLOTTE,MECKLENBURG,35.2789,-80.8741
NCD003151651,WILLARD SMELTING CO.,101 NEWBERN ST,CHARLOTTE,MECKLENBURG,35.19918,-80.86999
NCD003154960,FLEMING LABORATORIES,2215 THRIFT ROAD,CHARLOTTE,MECKLENBURG,35.23395,-80.87382
NCD003155587,SCOTT AVIATION OF MONROE/TOOL SERV,309 W. CROWELL ST,MONROE,UNION,34.98477,-80.55405
NCD003157377,AMERICAN THREAD/SEVIER PLANT,630 AMERICAN THREAD RD,MARION,MCDOWELL,35.79111,-82.02121
NCD003158094,GLEN RAVEN MILLS,EAST MAIN STREET,BURNSVILLE,YANCEY,35.91752,-82.2785
NCD003162500,CONSOLIDATED ENGRAVERS CORP.,311 E 12TH ST,CHARLOTTE,MECKLENBURG,35.23211,-80.83106
NCD003163730,GENERAL INSTRUMENT CORP.,1396 CHARLOTTE HWY,FAIRVIEW,BUNCOMBE,35.5257,-82.40735
NCD003163888,HENREDON FURNITURE,400 HENREDON RD,MORGANTON,BURKE,35.725104,-81.704942
NCD003164464,UNIROYAL INC/UNIROYAL CHEMICAL,214 W RUBY AVE,GASTONIA,GASTON,35.24477,-81.18706
NCD003167780,SPRAGUE ELECTRIC COMPANY,HWY 194,LANSING,ASHE,36.47966,-81.50469
NCD003182805,HACKNEY BROTHERS BODY CO.,HERRING AVE & PENDER ST,WILSON,WILSON,35.72951,-77.90242
NCD003183167,LONG MANUFACTURING,111 FAIRVIEW ST,TARBORO,EDGECOMBE,35.909128,-77.54397
NCD003183480,UNION CAMP CORPORATION,524 BROGDEN RD,SMITHFIELD,JOHNSTON,35.49578,-78.35143
NCD003183571,"WINTERVILLE MACHINE WORKS, INC.",2672 MILL ST,WINTERVILLE,PITT,35.52651,-77.40421
NCD003184249,UNION CARBIDE CORP/EVEREADY BATTERY,264 BYPASS-EVANS ST EXTN,GREENVILLE,PITT,35.57768,-77.38432
NCD003184710,CAROLINA CREOSOTING CORPORATION,EASTBROOK ROAD,LELAND,BRUNSWICK,34.269148,-78.040433
NCD003186004,INTERNATIONAL PAPER/RICHMOND GRAVURE,2215 S. WILMINGTON STREET,RALEIGH,WAKE,35.75096,-78.64064
NCD003186178,COASTAL CHEMICAL CORP.,EVANS ST EXT,GREENVILLE,PITT,35.56117,-77.38679
NCD003189024,BORDEN CHEMICAL FAYETTEVILLE PLANT,1411 INDUSTRIAL DR,FAYETTEVILLE,CUMBERLAND,35.02929,-78.86192
NCD003193588,"BARBOUR BOAT WORKS, INC.",527 TRYON PALACE DR,NEW BERN,CRAVEN,35.10469,-77.04299
NCD003195161,CORNING GLASS WORKS,3900 ELECTRONICS DRIVE,RALEIGH,WAKE,35.83318,-78.60387
NCD003195963,WESTINGHOUSE ELEC METER & LIGHT,US 1 N,RALEIGH,WAKE,35.816034,-78.59754
NCD003196193,"PIFER INDUSTRIES, INC.",2210 E PETTIGREW ST,DURHAM,DURHAM,35.9786,-78.8775
NCD003196847,NATIONAL SPINNING COMPANY,WEST 3RD STREET,WASHINGTON,BEAUFORT,35.55353,-77.07483
NCD003197704,"SALT WOOD PRODUCTS, INC.",11065 OLD HWY 70 W,COVE CITY,CRAVEN,35.19044,-77.33841
NCD003198520,"HONEYWELL, INC",921 HOLLOWAY STREET,DURHAM,DURHAM,35.99465,-78.8841
NCD003198967,GENERAL ELECTRIC CO/CAROLINA,900 N GEORGE ST,GOLDSBORO,WAYNE,35.39409,-77.99558
NCD003200656,"FEATHER PROCESSORS, INC",HWY 117 NORTH,ROSE HILL,DUPLIN,34.83815,-78.02585
NCD003201837,"ENCEE CHEMICAL SALES, INC.",1102 HWY 17 N D ST,BRIDGETON,CRAVEN,35.12961,-77.0256
NCD003213030,DOUGLAS BATTERY MANUFACTURING CO.,500 BATTERY DR,WINSTON-SALEM,FORSYTH,36.06,-80.2289
NCD003213568,LIBERTY FURNITURE CORP/CHROMCRAFT,330 N GREENSBORO ST,LIBERTY,RANDOLPH,35.85902,-79.57131
NCD003213881,BENDIX CORPORATION,I-85 INNES ST EXIT,SALISBURY,ROWAN,35.65158,-80.46657
NCD003214574,"SPRUANCE SOUTHERN, INC.",115 E ELLER DR,,DAVIDSON,35.96007277,-80.21803
NCD003215696,HUNT MANUFACTURING,2301 SPEEDBALL ROAD,STATESVILLE,IREDELL,35.79441,-80.92855
NCD003216397,HIGHLAND INDUSTRIES/BURLINGTON IND.,215 DRUMMOND ST/SR 2089,KERNERSVILLE,FORSYTH,36.12016,-80.07033
NCD003216413,RALEIGH ROAD FURNITURE CORP/STANLEY,802 WEST CENTER ROAD,LEXINGTON,DAVIDSON,35.83245,-80.26451
NCD003216462,UNION CARBIDE CORP/EVEREADY BATTERY,800 ALBEMARLE RD,ASHEBORO,RANDOLPH,35.69023,-79.8262
NCD003218161,CORNELL-DUBLIER ELECTRONICS,2652 DALRYMPLE ST,SANFORD,LEE,35.455113,-79.143719
NCD003218492,CAROLINA RUBBER HOSE COMPANY,1801 SOUTH RAILROAD,SALISBURY,ROWAN,35.652958,-80.492045
NCD003219789,CAROLINA BIOLOGICAL SUPPLY CO,2700 YORK RD.,BURLINGTON,ALAMANCE,36.105555,-79.488888
NCD003230836,DUKE REFINING CORPORATION,2020 JARRELL STREET,HIGH POINT,GUILFORD,35.93121,-80.00021
NCD003231545,"SHERWOOD TREATING CO., INC.",1660 SILAS CREEK PKWAY,WINSTON-SALEM,FORSYTH,36.06687,-80.26459
NCD003232477,HIGH FALLS MILLS LLC,1714 CAROLINA MILL RD,BURLINGTON,ALAMANCE,36.122023,-79.403528
NCD003233111,MARSH FURNITURE COMPANY,1001 S CENTENNIAL ST,HIGH POINT,GUILFORD,35.94314,-79.99977
NCD003233673,HOOVER REPAIR SHOP,461 N SOUTH STREET SR1669,MT AIRY,SURRY,36.503939,-80.616281
NCD003234549,SCM PROCTOR SILEX/WEAREVER,575 YADKIN RD,SOUTHERN PINES,MOORE,35.18956,-79.37807
NCD003235066,NEW AGE FURNITURE CO/MILLER TOOL,PROSPECT INDUSTRIAL PARK,LEXINGTON,DAVIDSON,35.802379,-80.277613
NCD003236841,WARLICK PAINT COMPANY,945 MONROE ST,STATESVILLE,IREDELL,35.77376,-80.86514
NCD003459336,"SURTRONICS, INC.",4001 BERYL RD,RALEIGH,WAKE,35.7941,-78.694393
NCD003464369,IMC/INTERNATIONAL MINERALS & CHEM,GLEEN AVENUE EXTENSION,WINSTON-SALEM,FORSYTH,36.13042,-80.23857
NCD003464765,VAUGHAN-BASSETT FURNITURE CO.,ROUTE 268 EAST,ELKIN,SURRY,36.24896,-80.83781
NCD003467974,AMP INCORPORATED,1126 CHURCH ST,GREENSBORO,GUILFORD,36.093115,-79.782494
NCD003520301,"OVERCASH MACHINE SHOP, INC.",865 CONNOR STREET,STATESVILLE,IREDELL,35.77699,-80.9013
NCD003528825,FIELDCREST MILLS INC.,WALPAT RD,SMITHFIELD,JOHNSTON,35.48506,-78.36059
NCD003938586,CORNING GLASS WORKS,310 NORTH COLLEGE RD,WILMINGTON,NEW HANOVER,34.25068,-77.86877
NCD003951878,SQUARE D COMPANY,128 BINGHAM RD,ASHEVILLE,BUNCOMBE,35.60668,-82.58728
NCD004520136,EATON CORPORATION,ROUTE 501 SOUTH,ROXBORO,PERSON,36.359262,-78.985681
NCD006390561,"AKZO NOBLE COATINGS, INC.",1431 PROGRESS ST,HIGH POINT,GUILFORD,35.92326,-80.02234
NCD006556963,CR INDUSTRIES,4328 S YORK HWY,GASTONIA,GASTON,35.20164,-81.2111
NCD009305699,"GTE SYLVANIA, INC.",1315 OUTLET CENTER DR,SMITHFIELD,JOHNSTON,35.51441,-78.30668
NCD024459471,GUYTON BATTERY SERVICE,HWY 401 S,CHADBOURN,COLUMBUS,34.29381,-78.82656
NCD024462327,ACADEMY STEEL DRUM,3213 RIDGE RD,MATTHEWS,MECKLENBURG,35.10161,-80.69745
NCD024468597,CHARLOTTE STEEL DRUM,2900 WEST TRADE STREET,CHARLOTTE,MECKLENBURG,35.25276,-80.86884
NCD024477556,WINSTON CONTAINER COMPANY,4732 MORRIS FIELD RD,CHARLOTTE,MECKLENBURG,35.21698,-80.92439
NCD024577421,NORTH CAROLINA SALVAGE CO.,HWY 117 SOUTH,GOLDSBORO,WAYNE,35.34783333,-78.01881389
NCD024600579,SUPERIOR PRODUCTS COMPANY,4801 BURLINGTON RD,GREENSBORO,GUILFORD,36.091355,-79.688375
NCD024740433,EC MANUFACTURING,413 N. POLK STREET,PINEVILLE,MECKLENBURG,35.088793,-80.886598
NCD024762668,BUSH BROTHERS PLATING INC/GREER,107 NE MARKET ST,REIDSVILLE,ROCKINGHAM,36.36236,-79.66263
NCD024770125,BURLINGTON FURNITURE,ATOAH STREET,ROBBINSVILLE,GRAHAM,35.31807,-83.81624
NCD024852675,SCHULHOFER JUNKYARD,816 HOWELL MILL ROAD,WAYNESVILLE,HAYWOOD,35.50729,-82.97605
NCD024852907,TAYLOR MOTOR CO,524 RUSS AVENUE,WAYNESVILLE,HAYWOOD,35.501432,-82.987087
NCD024895864,STEWART-WARNER CORP/BASSICK-SACK,2941 INDIANA AVE,WINSTON-SALEM,FORSYTH,36.12849,-80.23719
NCD033978396,ATEC INDUSTRIES,PERKINS DRIVE,ROXBORO,PERSON,36.43962,-78.97312
NCD037160439,"TOASTMASTER, INCORPORATED",17160 PLANT RD,LAURINBURG,SCOTLAND,34.80225,-79.46188
NCD038551263,TRI-COUNTY COMMUNITY COLLEGE,OFF US 64 E SOUTH OF NC 1,MURPHY,CHEROKEE,35.06675,-83.96576
NCD039102959,HEVI-DUTY ELECTRIC/GENERAL SIG,2701 HWY 117 S,GOLDSBORO,WAYNE,35.329622,-78.031985
NCD040042426,AEROQUIP,8171 PLANER MILL RD,MIDDLESEX,NASH,35.78585,-78.1851
NCD040047425,PRILLAMAN CHEMICALS,334 WORTH STREET,FAYETTEVILLE,CUMBERLAND,35.04894,-78.882533
NCD040052854,KAISER AGRICULTURAL CHEMICALS (FRMR),510 E BARNES ST,WILSON,WILSON,35.720858,-77.908228
NCD041230418,AMP INCORPORATED,3900 REIDSVILLE ROAD,WINSTON-SALEM,FORSYTH,36.1091,-80.1887
NCD041414780,FIELDCREST MILLS INC./NC FINISHING,US 29/70 N,SPENCER,ROWAN,35.72158,-80.3957
NCD041415019,VALSPAR CORPORATION,1647 ENGLISH RD,HIGH POINT,GUILFORD,35.94612,-80.01993
NCD041466525,ROCKY MOUNT FIBER DUMP,ATLANTIC AVE EXTENSION,ROCKY MOUNT,EDGECOMBE,35.96484,-77.78156
NCD041466806,PHILLIPS PLATING,US 17 HWY NORTH,BRIDGETON,CRAVEN,35.1433,-77.03231
NCD041519364,TEXASGULF CHEMICALS COMPANY,HWY 306 NORTH,AURORA,BEAUFORT,35.38,-76.775
NCD042091215,RJR TECH COMPANY,841 AVOCA FARM RD,MERRY HILL,BERTIE,36.00203,-76.71226
NCD042269134,SOUTHERN SCREW/FARLEY METALS,1225 BARKLEY RD,STATESVILLE,IREDELL,35.76493,-80.85539
NCD042423087,APOLLO CHEMICAL CORPORATION,1105 SOUTHERLAND STREET,GRAHAM,ALAMANCE,36.083134,-79.405568
NCD042890525,DIAMOND SHAMROCK CORP/MARIETTA,SR 1002,CASTLE HAYNE,NEW HANOVER,34.36904,-77.86421
NCD042891663,MITCHELL ENGR CO/CECO BLDG. DIV.,BYPASS 301,ROCKY MOUNT,NASH,36.02692,-77.76331
NCD043679349,GENERAL TIRE & RUBBER CO,1900 CONTINENTAL BLVD,CHARLOTTE,MECKLENBURG,35.12751,-80.92534
NCD043711977,"CHEMICAL LEAMAN TANK LINES, INC.",6600 WEST MARKET STREET,GREENSBORO,GUILFORD,36.07697,-79.91894
NCD044388015,GA-PACIFIC CORP HDBD,200 AMPAC RD,CONWAY,NORTHAMPTON,36.425128,-77.228083
NCD044444735,CROMPTON & KNOWLES CORP.,SPENCER MT RD,LOWELL,GASTON,35.2858,-81.1049
NCD044513307,CE SMITH CO,3704 OLD BATTLEGROUND RD,GREENSBORO,GUILFORD,36.12835,-79.84556
NCD044514602,"RJR ARCHER, INC.",CUNNINGHAM AVE,WINSTON-SALEM,FORSYTH,36.07619,-80.22706
NCD045451473,ACE CHEMICAL CORPORATION,9801 S TRYON ST,CHARLOTTE,MECKLENBURG,35.12513,-80.94277
NCD045456134,BUSS AUTOMATION INCORPORATED,"511 CREEKWAY DR, NW",LENOIR,CALDWELL,35.91493,-81.5567
NCD045915568,RALEIGH METAL PROCESSORS,2310 GARNER RD,RALEIGH,WAKE,35.749209,-78.631766
NCD045920279,HOLDING POND FOR WASTE/USS,100 QUALITY DR,NAVASSA,BRUNSWICK,34.25832,-77.98815
NCD045924032,WEST POINT PEPPERELL_ALAMAC,1885 ALAMAC RD,LUMBERTON,ROBESON,34.58923,-79.00516
NCD045924065,AMF/HATTERAS YACHTS,110 N GLENBURNIE ROAD,NEW BERN,CRAVEN,35.14035,-77.07236
NCD045924339,ACME UNITED CORPORATION,HWY 117,FREMONT,WAYNE,35.53727,-77.97992
NCD045924487,CAROLINA ALUMINUM/EASCO/ALFINITY,600 METCALF STREET,WINTON,HERTFORD,36.394876,-76.92857
NCD046148540,CENTRAL TRANSPORT COMPANY,600 MELYNDA ROAD,CHARLOTTE,MECKLENBURG,35.27454,-80.9102
NCD046149019,"HISTRAND CHEMICAL, INC.",HWY 9,LENOIR,CALDWELL,35.94447,-81.55814
NCD047257472,"APPLIED RESEARCH GROUP, INC.",2221 N. DAVIDSON STREET,CHARLOTTE,MECKLENBURG,35.23966,-80.8152
NCD047371794,COASTAL LUMBER CO,934 N CRAVEN ST,NEW BERN,CRAVEN,35.116575,-77.04246
NCD047372503,BRENNTAG/SOUTHCHEM,2000 E PETTIGREW ST,DURHAM,DURHAM,35.98,-78.880277
NCD048181218,CAROLINA GALVANIZING CORP.,HWY 221 E,ABERDEEN,MOORE,35.10797,-79.39135
NCD048184451,BURLINGTON HOME CHAIR,HIGHWAY 268,RONDA,WILKES,36.22046,-80.93765
NCD048401087,HOOKER FURNITURE,1212 THROWER ROAD,PLEASANT GARDEN,GUILFORD,35.961205,-79.766035
NCD048462881,ARMOLOY CO OF NC/HI-TECH,1603 SALISBURY ROAD,STATESVILLE,IREDELL,35.76791,-80.85129
NCD048469993,PROCTOR CHEMICAL CO INC/NATIONAL STA,237 LUMBER STREET,SALISBURY,ROWAN,35.65658,-80.48127
NCD048958615,KELLY-SPRINGFIELD TIRE CO/GOODYEAR,NAVASSA RD,FAYETTEVILLE,CUMBERLAND,35.1703,-78.85566
NCD049772023,"H & S PROCESSORS, INC.",NC HIGHWAY 150 WEST,LINCOLNTON,LINCOLN,35.4433,-81.28012
NCD049845266,STANLEY CASE GOODS (FORMER),HWY 211,WEST END,MOORE,35.23928,-79.56827
NCD049845548,"REICHHOLD CHEMICAL, INC.",SR 1916,MONCURE,CHATHAM,35.6056,-79.04865
NCD049997786,INMONT CORP/BASF CORPORATION,1110 CARBON CITY ROAD,MORGANTON,BURKE,35.732209,-81.747246
NCD050409150,GENERAL ELECTRIC CO/WILMINGTON,3901 CASTLE HAYNE RD,WILMINGTON,NEW HANOVER,34.321944,-77.923055
NCD051322980,GENERAL ELECTRIC CO.,2328 THRIFT RD,CHARLOTTE,MECKLENBURG,35.23568,-80.87391
NCD051739209,HARRELSON RUBBER COMPANY,408 TELEPHONE AVE,ASHEBORO,RANDOLPH,35.68506,-79.81233
NCD051745685,HOLDING POND FOR WASTE/USS,500 BROOME RD,GREENSBORO,GUILFORD,36.0368,-79.77981
NCD051853547,AUSTIN FOODS,E CHATHAM ST,CARY,WAKE,35.79085,-78.7721
NCD052553641,WEYERHAEUSER CO/LEWISTON,HWY 308 W,LEWISTON,BERTIE,36.12328,-77.18449
NCD053010724,"ICI - AMERICAS, INC.",2130 N TRYON,CHARLOTTE,MECKLENBURG,35.24324,-80.82062
NCD053010732,PARKS-CRAMER COMPANY,2000 S BLVD,CHARLOTTE,MECKLENBURG,35.20951,-80.86062
NCD053485991,VARCO-PRUDEN BUILDINGS,1140 PERRY RD,KERNERSVILLE,FORSYTH,36.13713,-80.09574
NCD053488409,ALLIED CHEMICAL CORP/PERFORMANCE FIBERS,338 PEA RIDGE ROAD,NEW HILL,CHATHAM,35.62083,-79.04525
NCD053488557,SOUTHERN WOOD PIEDMONT COMPANY,SR 2139,GULF,CHATHAM,35.560417,-79.277222
NCD054283189,HOOVER MACHINE SHOP,RATCHFORD ROAD,GASTONIA,GASTON,35.17334,-81.08752
NCD054290770,THOMASVILLE FURNITURE INDS/LENOIR,315 ELIZABETH ST NW,LENOIR,CALDWELL,35.93312,-81.54196
NCD054412283,BLACK & DECKER PLANT (FORMER),3301 MAIN ST,TARBORO,EDGECOMBE,35.9273,-77.56682
NCD054417308,COASTAL CHEMICAL CORP.,NC 42,CLAYTON,JOHNSTON,35.64005,-78.44604
NCD055162069,PELTON & CRANE PLANT (FORMER),200 CLANTON ROAD,CHARLOTTE,MECKLENBURG,35.194949,-80.874542
NCD055165609,PANTASOTE INC. FILM/COMPOUND DIV.,1508 S CENTER ST,HICKORY,CATAWBA,35.70848,-81.33872
NCD055167324,MITCHELL-BISSELL PLANT,HWY US 64,ROSMAN,TRANSYLVANIA,35.13848,-82.84966
NCD055550560,GULF ADHESIVES & RESINS/PERKINS,1717 WARD STREET,HIGH POINT,GUILFORD,35.93793,-80.02652
NCD057037178,PFIZER INC/COTY DIVISION,COX MILL RD & HWY 42 E,SANFORD,LEE,35.4581,-79.11291
NCD057248759,PATCH RUBBER POND,GRACE BOULEVARD,ROANOKE RAPIDS,HALIFAX,36.4391,-77.62673
NCD057454670,DIAMOND SHAMROCK CORP/OCCIDENTAL,SR 1002,CASTLE HAYNE,NEW HANOVER,34.37167,-77.86014
NCD058517467,SOUTHERN WOOD PIEDMONT COMPANY,GREENFIELD ST,WILMINGTON,NEW HANOVER,34.216,-77.94985
NCD060294139,A CLEANER WORLD,1221 W ACADEMY ST,WINSTON-SALEM,FORSYTH,36.08475,-80.25852
NCD060306727,"RICHARDS, WC COMPANY, INC.",101 EAST MAPLE STREET,ABERDEEN,MOORE,35.13397,-79.42486
NCD061099248,CONVERSE CHUCK TAYLOR SITE,4019 NC 72 WEST,LUMBERTON,ROBESON,34.658104,-79.103173
NCD061786000,BETA FUELING SYSTEMS,1209 FREEWAY DR,REIDSVILLE,ROCKINGHAM,36.32509,-79.69133
NCD061795696,UNITEX CHEMICALS,520 BROOME RD,GREENSBORO,GUILFORD,36.03889,-79.77934
NCD061801361,CIBA-GEIGY CORPORATION,410 SWING RD,GREENSBORO,GUILFORD,36.06604,-79.91153
NCD062548995,QUORUM KNITTING,REEMS CREEK RD,WEAVERVILLE,BUNCOMBE,35.68832,-82.5607
NCD062550082,CARPENTER CO - CONOVER PLANT,2009 KEISLER DAIRY RD,CONOVER,CATAWBA,35.69539,-81.18122
NCD062552989,MALLARD CREEK RD/UNION OIL CO OF CA,14700 MALLARD CREEK RD,CHARLOTTE,MECKLENBURG,35.34989,-80.71374
NCD062553490,"FLEET TRANSPORT CO., INC.",6712 FREEDOM DRIVE,CHARLOTTE,MECKLENBURG,35.27632,-80.93634
NCD062566047,FASCO CONTROLS CORPORATION,1100 AIRPORT RD,SHELBY,CLEVELAND,35.308549,-81.513369
NCD062571658,HONEYWELL MICRO SWITCH DIV.,1 HICKORY DRIVE,MARS HILL,MADISON,35.83222,-82.55895
NCD062664883,REINCO CHEMICAL COMPANY,EAST 11 ST,ROANOKE RAPIDS,HALIFAX,36.4516,-77.65206
NCD065288847,"CF NITROGEN, INCORPORATED",HWY 45,WINTON,HERTFORD,36.36944,-76.86667
NCD065295495,TEXFI IMPRESSIONS,401 PATETOWN RD,GOLDSBORO,WAYNE,35.41338,-77.97958
NCD067178707,"FAWN PLASTICS CO., INC.",10235 US 264A,MIDDLESEX,NASH,35.78496,-78.18296
NCD067187302,FULFLEX,500 AIR BOSS PKWY,SCOTLAND NECK,HALIFAX,36.12281,-77.41649
NCD067191262,FIRESTONE TIRE AND RUBBER COMPANY,HWY 301,WILSON,WILSON,35.75877,-77.86921
NCD067392175,"TRAMCO, INC.",SR 1611,CONNELLY SPRINGS,BURKE,35.754957,-81.473994
NCD067428821,"SIEMENS-ALLIS, INC/SWITCHGEAR DIV",5000 WOMACK RD,SANFORD,LEE,35.543928,-79.172041
NCD067437400,GULF OIL CORPORATION,5955 ROCK QUARRY RD,MCLEANSVILLE,GUILFORD,36.112335,-79.621395
